"Year","Plot","SpeciesID","TotalAbundance","Onset","Peak","End","Duration","Onset_DOY","Peak_DOY","End_DOY","Onset_Temp30","Peak_Temp30","End_Temp30"
1996,"Art1","Acari",231,185.28107374801,199.947413907949,217.91932037151,32.6382466235,167,185,209,-0.214583333333333,2.00375,5.78416666666667
1996,"Art1","Agromyzidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","ANMU",1355,183.285223776407,196.8869389918,216.850676659295,33.565452882888,168,184,206,-0.252638888888889,1.9525,5.75513888888889
1996,"Art1","Aphidoidea",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Apidae",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Aranea",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Braconidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Calliphoridae",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Cecidomyiidae",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Ceraphronidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Ceraphronoidea",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Chalcidoidea",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","CHCE",6477,170.705386292239,182.751764964505,196.072128295875,25.366742003636,160,173,187,-1.48875,0.0940277777777778,2.18222222222222
1996,"Art1","Coccinellidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Coccoidea",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Coleoptera",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Collembola",65,178.559882666859,195.926238866978,216.372966444356,37.813083777497,168,190,214,-0.252638888888889,2.71652777777778,6.0625
1996,"Art1","Copepoda",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Culicidae",98,188.718344073072,202.164857172768,213.674238424789,24.955894351717,179,192,205,1.45930555555556,2.72694444444444,5.67361111111111
1996,"Art1","Cynipoidea",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Dictynidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Diptera",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Empididae",77,184.113677931147,193.246842749762,205.371831470583,21.258153539436,NA,NA,NA,NA,NA,NA
1996,"Art1","Enchytraeidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Ephydridae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Faniidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Geometridae",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Gracilariidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Heleomyzidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Hemiptera",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Hymenoptera",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Ichneumonidae",43,NA,NA,NA,NA,182,194,207,1.90083333333333,2.9175,5.7325
1996,"Art1","Latridiidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Lepidoptera",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Linyphiidae",8,NA,NA,NA,NA,150,172,203,-5.84944444444444,-0.0877777777777778,5.27125
1996,"Art1","Lycaenidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Lycosidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Lygaeidae",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Megaspilidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","MYSC",64,188.19621263755,209.42259437146,227.986381589414,39.790168951864,163,178,192,-0.615138888888889,1.29527777777778,2.72694444444444
1996,"Art1","Nematoda",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Noctuidae",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Notostraca",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Nymphalidae",6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Ostracoda",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Phoridae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Pieridae ",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","PieridaeÂ ",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Piophilidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Platygastridae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Plutellidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Psocoptera",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Psylloidea",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Scathophagidae",11,NA,NA,NA,NA,146,158,174,-6.66444444444444,-2.2275,0.314305555555556
1996,"Art1","Scelionidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Siphonaptera",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Syrphidae",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Tachinidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Tardigrada",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Tenthredinidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Thomisidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Thysanoptera",8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Tipulidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Tipuloidea",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Tortricidae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,"Art1","Trichoceridae",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
